key,text,status,cdn_status,bytes,needs_purge,reason,attempts,provider
elevenlabs|el:lily|0.7||means,means,created,200,28800,no,,1,openai
elevenlabs|el:lily|0.7||regard,regard,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.7||variety,variety,created,200,36096,no,,1,openai
elevenlabs|el:lily|0.7||major,major,created,200,23424,no,,1,openai
elevenlabs|el:lily|0.7||factor,factor,created,200,44928,no,,1,openai
elevenlabs|el:lily|0.7||native,native,created,200,50688,no,,1,openai
elevenlabs|el:lily|0.7||global,global,created,200,31488,no,,1,openai
elevenlabs|el:lily|0.7||billion,billion,created,200,28032,no,,1,openai
elevenlabs|el:lily|0.7||attitude,attitude,created,200,28032,no,,1,openai
elevenlabs|el:lily|0.7||struggle,struggle,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.7||tongue,tongue,created,200,25344,no,,1,openai
elevenlabs|el:lily|0.7||appreciate,appreciate,created,200,24576,no,,1,openai
elevenlabs|el:lily|0.7||specific,specific,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.7||reference,reference,created,200,43776,no,,1,openai
elevenlabs|el:lily|0.7||gap,gap,created,200,23424,no,,1,openai
elevenlabs|el:lily|0.7||heritage,heritage,created,200,36096,no,,1,openai
elevenlabs|el:lily|0.7||relic,relic,created,200,25344,no,,1,openai
elevenlabs|el:lily|0.7||preserve,preserve,created,200,38016,no,,1,openai
elevenlabs|el:lily|0.7||dam,dam,created,200,24576,no,,1,openai
elevenlabs|el:lily|0.7||quote,quote,created,200,31488,no,,1,openai
elevenlabs|el:lily|0.7||committee,committee,created,200,28800,no,,1,openai
elevenlabs|el:lily|0.7||establish,establish,created,200,31488,no,,1,openai
elevenlabs|el:lily|0.7||fund,fund,created,200,63744,no,,1,openai
elevenlabs|el:lily|0.7||contribute,contribute,created,200,32640,no,,1,openai
elevenlabs|el:lily|0.7||contribution,contribution,created,200,64512,no,,1,openai
elevenlabs|el:lily|0.7||investigate,investigate,created,200,41472,no,,1,openai
elevenlabs|el:lily|0.7||conduct,conduct,created,200,28800,no,,1,openai
elevenlabs|el:lily|0.7||proposal,proposal,created,200,22272,no,,1,openai
elevenlabs|el:lily|0.7||document,document,created,200,49536,no,,1,openai
elevenlabs|el:lily|0.7||loss,loss,created,200,24576,no,,1,openai
elevenlabs|el:lily|0.7||balance,balance,created,200,22272,no,,1,openai
elevenlabs|el:lily|0.7||promote,promote,created,200,33408,no,,1,openai
elevenlabs|el:lily|0.7||identify,identify,created,200,28800,no,,1,openai
elevenlabs|el:lily|0.7||image,image,created,200,22272,no,,1,openai
elevenlabs|el:lily|0.7||cave,cave,created,200,23424,no,,1,openai
elevenlabs|el:lily|0.7||historic,historic,created,200,28032,no,,1,openai
elevenlabs|el:lily|0.7||attempt,attempt,created,200,23424,no,,1,openai
elevenlabs|el:lily|0.7||protest,protest,created,200,41472,no,,1,openai
elevenlabs|el:lily|0.7||issue,issue,created,200,25344,no,,1,openai
elevenlabs|el:lily|0.7||worthwhile,worthwhile,created,200,26880,no,,1,openai
elevenlabs|el:lily|0.7||department,department,created,200,28800,no,,1,openai
elevenlabs|el:lily|0.7||entrance,entrance,created,200,33408,no,,1,openai
elevenlabs|el:lily|0.7||exit,exit,created,200,20736,no,,1,openai
elevenlabs|el:lily|0.7||overseas,overseas,created,200,34560,no,,1,openai
elevenlabs|el:lily|0.7||endanger,endanger,created,200,58752,no,,1,openai
elevenlabs|el:lily|0.7||extinct,extinct,created,200,55296,no,,1,openai
elevenlabs|el:lily|0.7||extinction,extinction,created,200,33408,no,,1,openai
elevenlabs|el:lily|0.7||habitat,habitat,created,200,28800,no,,1,openai
elevenlabs|el:lily|0.7||reserve,reserve,created,200,40320,no,,1,openai
elevenlabs|el:lily|0.7||antelope,antelope,created,200,31488,no,,1,openai
elevenlabs|el:lily|0.7||herd,herd,created,200,28800,no,,1,openai
elevenlabs|el:lily|0.7||observe,observe,created,200,31488,no,,1,openai
elevenlabs|el:lily|0.7||illegal,illegal,created,200,39168,no,,1,openai
elevenlabs|el:lily|0.7||illegally,illegally,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.7||profit,profit,created,200,47232,no,,1,openai
elevenlabs|el:lily|0.7||threat,threat,created,200,32640,no,,1,openai
elevenlabs|el:lily|0.7||threaten,threaten,created,200,36096,no,,1,openai
elevenlabs|el:lily|0.7||effective,effective,created,200,31488,no,,1,openai
elevenlabs|el:lily|0.7||recover,recover,created,200,58752,no,,1,openai
elevenlabs|el:lily|0.7||intend,intend,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.7||exist,exist,created,200,39168,no,,1,openai
elevenlabs|el:lily|0.7||harmony,harmony,created,200,26880,no,,1,openai
elevenlabs|el:lily|0.7||alarming,alarming,created,200,20736,no,,1,openai
elevenlabs|el:lily|0.7||concern,concern,created,200,28032,no,,1,openai
elevenlabs|el:lily|0.7||concerned,concerned,created,200,28032,no,,1,openai
elevenlabs|el:lily|0.7||authority,authority,created,200,43776,no,,1,openai
elevenlabs|el:lily|0.7||adapt,adapt,created,200,38016,no,,1,openai
elevenlabs|el:lily|0.7||creature,creature,created,200,42624,no,,1,openai
elevenlabs|el:lily|0.7||sacred,sacred,created,200,33408,no,,1,openai
elevenlabs|el:lily|0.7||due,due,created,200,17664,no,,1,openai
elevenlabs|el:lily|0.7||access,access,created,200,20736,no,,1,openai
elevenlabs|el:lily|0.7||author,author,created,200,20736,no,,1,openai
