cache_key,text,voice_id,speed,cdn_url,storage_url,source_ref,record_id,field
elevenlabs|el:lily|0.85||washed the dishes,washed the dishes,el:lily,0.85,https://audio.bigmooneducation.com/5a/5ab66021327487387cd3bcb03713b6e35f3e2e66dd955ffa3ff13173c79fd752.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/5a/5ab66021327487387cd3bcb03713b6e35f3e2e66dd955ffa3ff13173c79fd752.mp3,src/data/primaryHub/grade6.json,g6v2_u2#vocab[2].chunks[1],chunks.en
elevenlabs|el:lily|0.85||washed the car,washed the car,el:lily,0.85,https://audio.bigmooneducation.com/9c/9ce38ae9b89d615613ab2fc832f255f832929a7a2ba03a79ce274807679bedd0.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/9c/9ce38ae9b89d615613ab2fc832f255f832929a7a2ba03a79ce274807679bedd0.mp3,src/data/primaryHub/grade6.json,g6v2_u2#vocab[2].chunks[2],chunks.en
elevenlabs|el:lily|0.85||watched TV,watched TV,el:lily,0.85,https://audio.bigmooneducation.com/35/35fe815c4b9c3b43e810bcf3263dbea8cdb991af66069e830da3a8f6bc9c457c.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/35/35fe815c4b9c3b43e810bcf3263dbea8cdb991af66069e830da3a8f6bc9c457c.mp3,src/data/primaryHub/grade6.json,g6v2_u2#vocab[3].chunks[0],chunks.en
elevenlabs|el:lily|0.85||watched a film,watched a film,el:lily,0.85,https://audio.bigmooneducation.com/41/41dedd69ebb32f12f518894c92fdbc70e69b7c5d0f0410d6ce59b284c290bc3b.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/41/41dedd69ebb32f12f518894c92fdbc70e69b7c5d0f0410d6ce59b284c290bc3b.mp3,src/data/primaryHub/grade6.json,g6v2_u2#vocab[3].chunks[1],chunks.en
elevenlabs|el:lily|0.85||watched a game,watched a game,el:lily,0.85,https://audio.bigmooneducation.com/05/0571f6c75b3d59b711a8d58b06c635f1d2cb0a4c3c5944a74dd5bb607477bfbf.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/05/0571f6c75b3d59b711a8d58b06c635f1d2cb0a4c3c5944a74dd5bb607477bfbf.mp3,src/data/primaryHub/grade6.json,g6v2_u2#vocab[3].chunks[2],chunks.en
elevenlabs|el:lily|0.85||had a fever,had a fever,el:lily,0.85,https://audio.bigmooneducation.com/5b/5b32a90c5822253e2416c88cbb468dd081e476375815532f8fda86b937ab6ada.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/5b/5b32a90c5822253e2416c88cbb468dd081e476375815532f8fda86b937ab6ada.mp3,src/data/primaryHub/grade6.json,g6v2_u2#vocab[4].chunks[0],chunks.en
elevenlabs|el:lily|0.85||had a headache,had a headache,el:lily,0.85,https://audio.bigmooneducation.com/a8/a8c029df30b117acda488b89e510627fcbdcf797438381c77d6d0d625ad758ed.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/a8/a8c029df30b117acda488b89e510627fcbdcf797438381c77d6d0d625ad758ed.mp3,src/data/primaryHub/grade6.json,g6v2_u2#vocab[4].chunks[1],chunks.en
elevenlabs|el:lily|0.85||had a good time,had a good time,el:lily,0.85,https://audio.bigmooneducation.com/ca/caf7dedc6af201538e404e38f47f0a8f204589330aa83a0ffb58e0d71ea6ebaa.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/ca/caf7dedc6af201538e404e38f47f0a8f204589330aa83a0ffb58e0d71ea6ebaa.mp3,src/data/primaryHub/grade6.json,g6v2_u2#vocab[4].chunks[2],chunks.en
elevenlabs|el:lily|0.85||had a bad cold,had a bad cold,el:lily,0.85,https://audio.bigmooneducation.com/a3/a3ace7dda61465ff9fa57224e2461554747ac4060dd26c0619a782e5b60329df.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/a3/a3ace7dda61465ff9fa57224e2461554747ac4060dd26c0619a782e5b60329df.mp3,src/data/primaryHub/grade6.json,g6v2_u2#vocab[5].chunks[1],chunks.en
elevenlabs|el:lily|0.85||slept all day,slept all day,el:lily,0.85,https://audio.bigmooneducation.com/ec/ec8e76b699457cd2f789ec956c8c29ab1ab5a64b7a4f54f16eb0dff922f089a0.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/ec/ec8e76b699457cd2f789ec956c8c29ab1ab5a64b7a4f54f16eb0dff922f089a0.mp3,src/data/primaryHub/grade6.json,g6v2_u2#vocab[6].chunks[0],chunks.en
