word_id,word,pos,meaning_cn,stage,grade,volume,unit,source_type,source_page,confidence
jr-7A-U1-0047,zero,,、 /zIr@U/ num. 零,junior,7,7A,U1,wordlist,117,high
jr-7A-U2-0001,aunt,,、 /{nt/ n. 姑母；姨母； 伯母；婶母；舅母,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0002,brother,n.,兄；弟,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0003,bye,interj.,(= goodbye) 再见,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0004,cousin,n.,堂兄（弟、姊、 妹）；表兄（弟、姊、妹）,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0005,dad,n.,爸爸,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0006,daughter,n.,女儿,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0007,day,n.,一天；一日；白天 p.8 Have a good day! （表示祝愿）过得愉快！,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0008,dog,,、 /dO:g/ n. 狗,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0009,family,n.,家；家庭,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0010,father,n.,父亲；爸爸,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0011,girl,n.,女孩,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0012,grandfather,n.,（外）祖父；爷爷；外公；姥爷,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0013,grandma,n.,（外）祖母；奶奶；外婆；姥姥,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0014,grandmother,n.,（外）祖母；奶奶；外婆；姥姥,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0015,grandpa,n.,（外）祖父；爷爷；外公；姥爷,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0016,grandparent,,、,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0017,have,v.,经受；经历,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0018,here,,、 /hIr/ adv. （用以介绍 某人或某物）这就是；在这里,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0019,Kate,,凯特（女名）,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0020,mom,,、 /mA:m/ n. （= mum）妈妈,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0021,mother,n.,母亲；妈妈,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0022,next,adj.,& n. 下一个（的）； 接下来（的）,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0023,of,,、 /v; @v/ prep. 属于（某 人或某物）； 关于（某人或某物）  p.11 97,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0024,oh,interj.,哦；啊,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0025,parent,,、 /per@nt/ n. 父（母）亲,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0026,Paul,,保罗（男名）,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0027,photo,n.,照片,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0028,picture,n.,照片；图画,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0029,Sally,,萨莉（女名）,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0030,sister,n.,姐；妹,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0031,son,n.,儿子,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0032,these,pron.,这些,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0033,they,pron.,他（她、它）们,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0034,those,pron.,那些,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0035,uncle,n.,舅父；叔父；伯父； 姑父；姨父,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0036,well,interj.,嗯；好吧,junior,7,7A,U2,wordlist,117,high
jr-7A-U2-0037,who,pron.,谁；什么人,junior,7,7A,U2,wordlist,117,high
jr-7A-U3-0001,about,prep.,关于  adv. 大约 p.14 What about ...? （询问消息或提出建议） ……怎么样？……好吗？,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0002,Anna,,安娜（女名）,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0003,ask,,、 /{sk/ v. 请求；要求； 询问 p.17 ask ... for ...  请求；恳求（给予）,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0004,at,prep.,（提供电话号码等时使用） 按照；根据；在（某处、某时间 或时刻）,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0005,bag,n.,袋；包,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0006,baseball,n.,棒球,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0007,book,n.,书,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0008,box,,、 /bA:ks/ n. 箱；盒 p.13 pencil box  铅笔盒；文具盒,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0009,call,v.,（给……）打电话,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0010,card,n.,卡片 p.16 ID card  学生卡；身份证,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0011,classroom,,、 /kl{sru:m/ n. 教室,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0012,computer,n.,计算机；电脑,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0013,David,,戴维（男名）,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0014,dictionary,,、 /dIkS@neri/ n. 词典；字典,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0015,e-mail,,（= email） v. 给……发电子邮件；用电邮发送 n. 电子邮件,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0016,eraser,,、 /IreIs@r/ n. 橡皮,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0017,excuse,v.,原谅；宽恕,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0018,find,v.,（过去式、过去分词,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0019,for,prep.,为了；给；对 p.14 thank you for ... 为……而感谢你（们）,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0020,found,,）  找到；发现,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0021,game,n.,游戏；运动；比赛,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0022,help,v.,& n. 帮助；援助,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0023,hers,pron.,她的,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0024,his,pron.,他的,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0025,in,prep.,在……里,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0026,John,,、 /dZA:n/ 约翰（男名）,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0027,library,,、 /laIbreri/ n. 图书馆,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0028,lost,,、 /lA:st/ v.（动词lose,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0029,me,pron.,（I的宾格）我 p.14 excuse me  劳驾；请原谅,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0030,mine,pron.,我的,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0031,must,modal v.,必须,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0032,notebook,n.,笔记本,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0033,pencil,n.,铅笔,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0034,ring,n.,戒指,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0035,schoolbag,n.,书包,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0036,set,n.,一套；一副；一组 p.18 98 a set of  一套；一副；一组,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0037,some,adj.,一些；某些 pron. 有些；有的,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0038,teacher,n.,老师；教师,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0039,thank,v.,感谢；谢谢,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0040,watch,,、 /wA:tS/ n. 表；手表,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0041,welcome,adj.,受欢迎的 p.14 You’re welcome.  别客气。,junior,7,7A,U3,wordlist,117,high
jr-7A-U3-0042,yours,pron.,你的；你们的,junior,7,7A,U3,wordlist,117,high
jr-7A-U4-0001,always,adv.,总是,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0002,bed,n.,床,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0003,bookcase,n.,书架；书柜,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0004,but,conj.,但是,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0005,chair,,、 /tSer/ n. 椅子,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0006,clock,,、 /klA:k/ n. 时钟,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0007,come,v.,来；来到 p.20 come on  快点儿,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0008,desk,n.,书桌,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0009,everywhere,,、 /evriwer/ adv. 处处；到处；各个地方,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0010,hat,n.,帽子,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0011,head,n.,头,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0012,know,v.,知道；了解,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0013,model,,、 /mA:dl/ n. 模型,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0014,on,,、 /A:n/ prep. 在……上,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0015,our,pron.,我们的,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0016,plane,n.,飞机 p.22 model plane 飞机模型,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0017,player,n.,播放机 p.22 tape player 磁带播放机,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0018,radio,n.,收音机；无线电广播,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0019,room,n.,房间,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0020,sofa,n.,沙发,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0021,table,n.,桌子,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0022,tape,n.,磁带；录音带；录像带,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0023,their,,、 /Der/ pron. 他（她、它）们的,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0024,think,v.,认为；想；思考,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0025,tidy,adj.,整洁的；井井有条的,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0026,under,prep.,在……下,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0027,where,,、 /wer/ adv. 在哪里；到哪里,junior,7,7A,U4,wordlist,117,high
jr-7A-U4-0028,yeah,interj.,是的；对,junior,7,7A,U4,wordlist,117,high
jr-7A-U5-0001,afer,,、 /{ft@(r)/ prep. & conj. 在……以后,junior,7,7A,U5,wordlist,117,high
jr-7A-U5-0002,ball,n.,球,junior,7,7A,U5,wordlist,117,high
jr-7A-U5-0003,basketball,,、 /b{skItbO:l/ n. 篮球,junior,7,7A,U5,wordlist,117,high
jr-7A-U5-0004,bat,n.,球棒；球拍,junior,7,7A,U5,wordlist,117,high
jr-7A-U5-0005,Bill,,比尔（男名）,junior,7,7A,U5,wordlist,117,high
jr-7A-U5-0006,boring,adj.,没趣的；令人厌倦的,junior,7,7A,U5,wordlist,117,high
jr-7A-U5-0007,class,,、 /kl{s/ n. 班级；课,junior,7,7A,U5,wordlist,117,high
