word_id,word,pos,meaning_cn,stage,grade,volume,unit,source_type,source_page,confidence
jr-7A-EXTRA-0097,Lett,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0098,Letters,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0099,likes,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0100,List,,,junior,7,7A,EXTRA,text_only,9,high
jr-7A-EXTRA-0101,Ltd,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0102,m,,,junior,7,7A,EXTRA,text_only,6,low
jr-7A-EXTRA-0103,Making,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0104,Martha,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0105,means,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0106,Meeting,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0107,middle school,,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0108,Mr,,,junior,7,7A,EXTRA,text_only,10,high
jr-7A-EXTRA-0109,Ms,,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0110,ne,,,junior,7,7A,EXTRA,text_only,6,low
jr-7A-EXTRA-0111,negative,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0112,new,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0113,Ng,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0114,Nice to meet you,,,junior,7,7A,EXTRA,text_only,8,high
jr-7A-EXTRA-0115,Nice to meet you.,,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0116,Notes,,,junior,7,7A,EXTRA,text_only,9,high
jr-7A-EXTRA-0117,nouns,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0118,numbers,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0119,Nunan,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0120,O,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0121,O-R-A-N-G-E,,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0122,or,,,junior,7,7A,EXTRA,text_only,3,low
jr-7A-EXTRA-0123,ose,,,junior,7,7A,EXTRA,text_only,8,high
jr-7A-EXTRA-0124,ownership,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0125,P,,,junior,7,7A,EXTRA,text_only,10,high
jr-7A-EXTRA-0126,P.E,,,junior,7,7A,EXTRA,text_only,10,high
jr-7A-EXTRA-0127,Page,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0128,parents,,,junior,7,7A,EXTRA,text_only,8,high
jr-7A-EXTRA-0129,part,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0130,pencil box,,,junior,7,7A,EXTRA,text_only,8,high
jr-7A-EXTRA-0131,People,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0132,permission,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0133,Plural,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0134,Possessive,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0135,preferences,,,junior,7,7A,EXTRA,text_only,9,high
jr-7A-EXTRA-0136,Prepositions,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0137,Present,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0138,Press,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0139,prices,,,junior,7,7A,EXTRA,text_only,9,high
jr-7A-EXTRA-0140,pronouns,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0141,Pronunciation,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0142,Pte,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0143,publication,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0144,publisher,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0145,quality,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0146,questions,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0147,R,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0148,re,,,junior,7,7A,EXTRA,text_only,8,low
jr-7A-EXTRA-0149,reasons,,,junior,7,7A,EXTRA,text_only,9,high
jr-7A-EXTRA-0150,Recycling,,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0151,reproduced,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0152,Review,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0153,rmative,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0154,Robinson,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0155,rst,,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0156,s,,,junior,7,7A,EXTRA,text_only,3,low
jr-7A-EXTRA-0157,Sally,,,junior,7,7A,EXTRA,text_only,10,high
jr-7A-EXTRA-0158,Sheridan,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0159,shoes,,,junior,7,7A,EXTRA,text_only,10,high
jr-7A-EXTRA-0160,Shopping,,,junior,7,7A,EXTRA,text_only,9,high
jr-7A-EXTRA-0161,socks,,,junior,7,7A,EXTRA,text_only,9,high
jr-7A-EXTRA-0162,someone,,,junior,7,7A,EXTRA,text_only,9,high
jr-7A-EXTRA-0163,Sounds,,,junior,7,7A,EXTRA,text_only,8,high
jr-7A-EXTRA-0164,"Spell it, please.",,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0165,Spending,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0166,sports,,,junior,7,7A,EXTRA,text_only,8,high
jr-7A-EXTRA-0167,Starter,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0168,statements,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0169,Structures,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0170,subjects,,,junior,7,7A,EXTRA,text_only,9,high
jr-7A-EXTRA-0171,t,,,junior,7,7A,EXTRA,text_only,8,low
jr-7A-EXTRA-0172,Talk,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0173,Tapescripts,,,junior,7,7A,EXTRA,text_only,9,high
jr-7A-EXTRA-0174,Target,,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0175,telephone/phone number,,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0176,tense,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0177,Text,,,junior,7,7A,EXTRA,text_only,9,high
jr-7A-EXTRA-0178,Th,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0179,thank you,,,junior,7,7A,EXTRA,text_only,8,high
jr-7A-EXTRA-0180,things,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0181,Topics,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0182,transmitted,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0183,U,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0184,uncountable,,,junior,7,7A,EXTRA,text_only,7,high
jr-7A-EXTRA-0185,Unit,,,junior,7,7A,EXTRA,text_only,9,high
jr-7A-EXTRA-0186,Units,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0187,ursday,,,junior,7,7A,EXTRA,text_only,10,high
jr-7A-EXTRA-0188,V,,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0189,ve,,,junior,7,7A,EXTRA,text_only,10,low
jr-7A-EXTRA-0190,vegetables,,,junior,7,7A,EXTRA,text_only,8,high
jr-7A-EXTRA-0191,VI,,,junior,7,7A,EXTRA,text_only,9,high
jr-7A-EXTRA-0192,Vickers,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0193,VII,,,junior,7,7A,EXTRA,text_only,10,high
jr-7A-EXTRA-0194,Villiers,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0195,Vocabulary,,,junior,7,7A,EXTRA,text_only,6,high
jr-7A-EXTRA-0196,without,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0197,words,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0198,writing,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0199,www.pep.com.cn,,,junior,7,7A,EXTRA,text_only,3,high
jr-7A-EXTRA-0200,yaR,,,junior,7,7A,EXTRA,text_only,11,low
jr-7A-EXTRA-0201,yourself,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0202,Z,,,junior,7,7A,EXTRA,text_only,5,high
jr-7A-EXTRA-0203,a,,（an /{n; @n/）,junior,7,7A,EXTRA,wordlist,126,low
jr-7A-EXTRA-0204,A.M.,,（= a.m.）上午,junior,7,7A,EXTRA,wordlist,126,high
jr-7A-EXTRA-0205,about,prep.,关于  adv. 大约,junior,7,7A,EXTRA,wordlist,126,high
