headword,pos,freq_rank,cefr
in danger,,,A2
in fact,,,A2
in front of,,,A2
in future,,,A2
in general,,,A2
in high spirits,,,A2
in line with,,,A2
in low spirits,,,A2
in need,,,A2
in order to,,,A2
in other words,,,B1
in particular,,,B1
in person,,,A2
in public,,,A2
in return,,,A2
in spite of,,,B1
in tears,,,B1
in that case,,,A2
in the end,,,A2
in the form of,,,B1
in the future,,,A2
in the middle,,,A2
in the sun,,,A2
in time,,,A2
in total,,,A2
in vain,,,B1
inaction,n,,B2
including,prep,,B2
incredibly,adv,,B2
independently,adv,,B2
indian,n/a,,B1
inequality,n,,B2
injured,a,,B2
inspirational,a,,B2
instantaneously,adv,,B2
instead of,,,A2
intently,adv,,B2
interested,a,,B1
interested in,,,A2
iranian,a/n,,B1
italian,n/a,,B1
ivy,n/a,,B2
jawline,n,,B2
jump rope,n,,A2
jump the queue,,,A2
junior high,n,,A2
keep off,,,A2
keyhole,n/a,,B1
kg,n,,B1
km,,,B1
knock around,,,A2
knock down,,,A2
korea,n,,B1
kung fu,n,,A2
large-scale,a,,B2
last but not least,,,A2
last name,,,A2
lastly,adv,,B1
late for,,,A2
laugh at,,,A2
laughing stock,n,,B1
leave a message,,,A2
leave out,,,A2
let down,,,A2
let off steam,,,B1
life-saving,,,B1
lifelike,a,,B2
lifeline,n,,B2
lifelong,a,,B1
lighting,n,,B2
lightning rod,,,A2
linguist,n,,B2
listen to,,,A2
living room,,,A2
located,a,,B1
lock up,,,A2
logging,n,,B1
logo,n,,B1
loneliness,n,,B2
long ago,,,A2
long face,,,B1
look after,,,A2
look at,,,A2
look back at,,,A2
look for,,,A2
look forward to,,,A2
look into,,,B1
look on the bright side,,,A2
look up to,,,A2
loose lips sink ships,,,B1
lose track of,,,B1
lost,a,,B1
lotus,n,,B1
luckily,adv,,B1
lucky you,,,A2
lungfish,n,,B1
lyrics,n,,B1
made of,,,A2
madly,adv,,B1
magnifier,n,,B1
make a difference,,,A2
make a getaway,,,B1
make a mess,,,A2
make a mistake,,,A2
make a promise,,,A2
make a wish,,,A2
make an effort,,,A2
make ends meet,,,A2
make every effort,,,A2
make friends,,,A2
make money,,,A2
make preparations,,,A2
make progress,,,A2
make sense,,,A2
make sure,,,A2
make up,,,A2
make use of,,,A2
makeover,n,,B2
mangrove,n,,B2
manned,a,,B2
manners,n,,B2
manpower,n,,B1
mashed potatoes,,,A2
matchbox,n,,B1
max out,,,B1
meet up,,,A2
merci,int,,B1
metro,n,,B1
mid-summer,,,B1
midsummer,n/a,,B1
mindset,n,,B2
mini-goal,,,B1
misadventure,n,,B2
misjudge,v,,B2
misty,a,,B2
misunderstanding,n,,B1
mobile phone,,,A2
moderation,n,,B2
moderator,n,,B2
moneybox,n,,B1
more than,,,A2
most of all,,,A2
motivated,a,,B2
mound,n/vt/vi,,B2
mountaineering,n,,B1
moving,a,,B1
multimedia,n,,B1
musical instrument,,,A2
mutt,n,,B2
namaste,n,,B1
nanny,n,,B2
natural resources,n,,A2
natural selection,,,B1
navigator,n,,B2
nervously,adv,,B1
newborn,n/a,,B1
newcomer,n,,B2
newsletter,n,,B1
next time,,,A2
next to,,,A2
nicely,adv,,B1
no matter,,,A2
no way,,,A2
nobly,adv,,B2
north,n/a/adv,,B1
northeastern,a,,B1
nosebleed,n,,B1
nothing but,,,A2
nursing home,,,A2
objectively,adv,,B2
obsessive,a,,B2
of course,,,A2
offline,,,B1
old-fashioned,a,,B1
olympic,a,,B2
olympics,n,,B1
on average,,,A2
on duty,,,A2
on fire,,,A2
on purpose,,,A2
on sale,,,A2
on the go,,,A2
on time,,,A2
on top of the world,,,A2
once again,,,A2
once in a while,,,A2
once upon a time,,,A2
one another,,,A2
one by one,,,A2
only if,,,A2
open-minded,a,,B1
organisation,n,,B1
organized,a,,B1
ought to,,,B1
out of breath,,,A2
out of the ordinary,,,B1
outbound,a,,B2
outer space,n,,A2
outperform,vt,,B2
over there,,,A2
overfish,vt,,B1
overfishing,v,,B2
overpopulation,n,,B2
oversleep,v,,B1
overstatement,,,B2
overwhelmed,v,,B2
pack up,,,A2
panicky,a,,B2
paper cutting,,,A2
paper-cut,n,,B1
paper-cutting,,,B1
paramedic,n,,B2
parking lot,,,A2
participation,n,,B2
pass away,,,A2
pass by,,,A2
pass up,,,B1
pay attention,,,A2
pay attention to,,,A2
pay for,,,A2
pay off,,,B1
peacekeeper,n,,B2
peacekeeping,,,B2
penguin,n,,B1
peony,n,,B1
peppercorn,n,,B2
per cent,n,,B1
permafrost,n,,B2
personal finances,,,B1
pick up,,,A2
ping-pong bat,,,A2
pizza,n,,B1
places of interest,,,A2
